security_code,isin,symbol,security_group,security_name
500002,INE117A01022,ABB,A,ABB INDIA LIMITED
500003,INE208C01025,AEGISLOG,A,AEGIS LOGISTICS LTD.
500008,INE885A01032,ARE&M,A,Amara Raja Energy & Mobility L
500009,INE432A01017,AMBALALSA,X,AMBALAL SARABHAI ENTERPRISES L
500012,INE714B01016,ANDHRAPET,X,ANDHRA PETROCHEMICALS LTD.
500013,INE436A01026,ANSALAPI,Z,ANSAL PROPERTIES & INFRASTRUCT
500014,INE096A01010,UTIQUE,X,UTIQUE ENTERPRISES LIMITED
500016,INE957C01019,ARUNAHTEL,X,ARUNA HOTELS LTD.
500020,INE032A01023,BOMDYEING,A,BOMBAY DYEING & MFG.CO.LTD.
500023,INE363A01022,ASIANHOTNR,T,ASIAN HOTELS (NORTH) LIMITED
500027,INE100A01010,ATUL,A,ATUL LTD.
500028,INE447A01015,ATVPR,XT,ATV PROJECTS INDIA LTD.
500031,INE193E01025,BAJAJELEC,A,BAJAJ ELECTRICALS LTD.
500032,INE306A01021,BAJAJHIND,A,BAJAJ HINDUSTHAN SUGAR LIMITED
500033,INE451A01017,FORCEMOT,A,FORCE MOTORS LTD.
500034,INE296A01024,BAJFINANCE,A,BAJAJ FINANCE LIMITED
500038,INE119A01028,BALRAMCHIN,A,BALRAMPUR CHINI MILLS LTD.
500039,INE213C01025,BANCOINDIA,B,BANCO PRODUCTS (INDIA) LTD.
500040,INE055A01016,CENTURYTEX,A,CENTURY TEXTILES & INDUSTRIES
500041,INE459A01010,BANARISUG,B,BANNARI AMMAN SUGARS LTD.
500042,INE373A01013,BASF,A,BASF INDIA LTD.
500043,INE176A01028,BATAINDIA,A,BATA INDIA LTD.
500048,INE258A01016,BEML,A,BEML LTD.
500049,INE263A01024,BEL,A,BHARAT ELECTRONICS LTD.
500052,INE922A01025,BEPL,B,BHANSALI ENGINEERING POLYMERS
500058,INE819C01011,BIHSPONG,XT,BIHAR SPONGE IRON LTD.
500059,INE071A01013,BINANIIND,T,BINANI INDUSTRIES LTD.
500060,INE800A01015,BIRLACABLE,B,Birla Cable Limited
500067,INE472A01039,BLUESTARCO,A,BLUE STAR LTD.
500068,INE131C01011,DISAQ,B,DISA INDIA LTD.
500069,INE418C01012,QUESTCAP,X,QUEST CAPITAL MARKETS LIMITED
500074,INE110A01019,BPL,B,BPL LTD.
500078,INE959C01023,OAL,B,ORIENTAL AROMATICS LIMITED
500083,INE281A01026,CENTEXT,B,CENTURY EXTRUSIONS LTD.
500084,INE486A01021,CESC,A,CESC LTD.
500085,INE085A01013,CHAMBLFERT,A,CHAMBAL FERTILISERS & CHEMICAL
500086,INE302A01020,EXIDEIND,A,EXIDE INDUSTRIES LTD.
500087,INE059A01026,CIPLA,A,CIPLA LTD.
500089,INE303A01010,DICIND,B,DIC INDIA LTD.
500092,INE007A01025,CRISIL,A,CRISIL LTD.
500093,INE067A01029,CGPOWER,A,CG Power and Industrial Soluti
500096,INE016A01026,DABUR,A,DABUR INDIA LTD.
500097,INE495A01022,DALMIASUG,B,DALMIA BHARAT SUGAR AND INDUST
500101,INE034A01011,ARVIND,A,ARVIND LTD.
500103,INE257A01026,BHEL,A,BHARAT HEAVY ELECTRICALS LTD.
500104,INE094A01015,HINDPETRO,A,HINDUSTAN PETROLEUM CORPORATIO
500106,INE039A01010,IFCI,A,IFCI LTD.
500108,INE153A01019,MTNL,B,MAHANAGAR TELEPHONE NIGAM LTD.
500109,INE103A01014,MRPL,A,MANGALORE REFINERY & PETROCHEM
500110,INE178A01016,CHENNPETRO,A,CHENNAI PETROLEUM CORPORATION
500112,INE062A01020,SBIN,A,STATE BANK OF INDIA
500113,INE114A01011,SAIL,A,STEEL AUTHORITY OF INDIA LTD.
500114,INE280A01028,TITAN,A,TITAN COMPANY LIMITED
500116,INE008A01015,IDBI,A,IDBI BANK LTD.
500117,INE500A01029,DCW,B,DCW LTD.
500119,INE041A01016,DHAMPURSUG,A,DHAMPUR SUGAR MILLS LTD.
500120,INE591D01014,DIAMINESQ,B,DIAMINES & CHEMICALS LTD.
500123,INE280B01018,ELANTAS,B,ELANTAS BECK INDIA LTD.
500124,INE089A01023,DRREDDY,A,DR.REDDYS LABORATORIES LTD.
500125,INE126A01031,EIDPARRY,A,E.I.D.-PARRY (INDIA) LTD.
500126,INE199A01012,PGHL,A,PROCTER & GAMBLE HEALTH LIMITE
500128,INE086A01029,ELECTCAST,A,ELECTROSTEEL CASTINGS LTD.
500133,INE284A01012,ESABINDIA,A,ESAB INDIA LTD.
500135,INE255A01020,EPL,A,EPL LIMITED
500136,INE778B01029,ESTER,B,ESTER INDUSTRIES LTD.
500142,INE512A01016,FGP,X,FGP LTD.
500143,INE160F01013,PHCAP,XT,PH CAPITAL LTD.
500144,INE235A01022,FINCABLES,A,FINOLEX CABLES LTD.
500147,INE515A01019,COCKERILL,B,JOHN COCKERILL INDIA LIMITED
500148,INE516A01017,UFLEX,A,UFLEX LTD.
500150,INE519A01011,FOSECOIND,B,FOSECO INDIA LTD.
500151,INE973A01010,GOLDENTOBC,Z,GOLDEN TOBACCO LTD.
500153,INE388A01029,GANESHBE,B,GANESH BENZOPLAST LTD.
500159,INE085D01033,METROGLOBL,X,METROGLOBAL LIMITED
500160,INE043A01012,GTL,T,GTL LTD.
500163,INE260B01028,GODFRYPHLP,A,GODFREY PHILLIPS INDIA LTD.
500164,INE233A01035,GODREJIND,A,GODREJ INDUSTRIES LTD.
500165,INE531A01024,KANSAINER,A,KANSAI NEROLAC PAINTS LTD.
500166,INE300A01016,GOODRICKE,X,GOODRICKE GROUP LTD.
500168,INE533A01012,GOODYEAR,B,GOODYEAR INDIA LTD.
500170,INE537A01013,GTNINDS,X,GTN INDUSTRIES LTD.
500171,INE539A01019,GHCL,A,GHCL LTD.
500173,INE538A01037,GFLLIMITED,B,GFL LIMITED
500174,INE540A01017,GLFL,T,GUJARAT LEASE FINANCING LTD.
500179,INE236A01020,HCL-INSYS,T,HCL INFOSYSTEMS LTD.
500180,INE040A01034,HDFCBANK,A,HDFC BANK LTD.
500182,INE158A01026,HEROMOTOCO,A,HERO MOTOCORP LTD.
500183,INE548A01028,HFCL,A,HFCL LIMITED
500184,INE019C01026,HSCL,A,Himadri Speciality Chemical Lt
500185,INE549A01026,HCC,A,HINDUSTAN CONSTRUCTION CO.LTD.
500186,INE345A01011,HINDOILEXP,A,HINDUSTAN OIL EXPLORATION CO.L
500187,INE415A01038,AGI,A,AGI GREENPAC LIMITED
500188,INE267A01025,HINDZINC,A,HINDUSTAN ZINC LTD.
500189,INE353A01023,NDLVENTURE,B,NDL Ventures Limited
500191,INE262A01018,HMT,Z,HMT LTD.
500192,INE962B01011,PRAGBOS,X,PRAG BOSIMI SYNTHETICS LTD.
500193,INE102A01024,HLVLTD,T,HLV LIMITED
500199,INE204A01010,IGPL,B,I G PETROCHEMICALS LTD.
500201,INE560A01015,INDIAGLYCO,B,INDIA GLYCOLS LTD.
500202,INE333C01013,INDLEASE,X,INDIA LEASE DEVELOPMENT LTD.
500206,INE680B01019,MARGOFIN,XT,MARGO FINANCE LIMITED
500207,INE156A01020,INDORAMA,B,INDO RAMA SYNTHETICS (INDIA) L
500209,INE009A01021,INFY,A,INFOSYS LTD.
500210,INE177A01018,INGERRAND,A,INGERSOLL-RAND (INDIA) LTD.
500213,INE262B01016,ITHL,X,INTERNATIONAL TRAVEL HOUSE LTD
500214,INE570A01022,IONEXCHANG,A,ION EXCHANGE (INDIA) LTD.
500215,INE209A01019,ATFL,B,AGRO TECH FOODS LTD.
